Description,Barangay,City,Province,Price_PHP,Bedrooms,Bath,Floor_area_sqm,Land_area_sqm
"2-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu",Mactan,Lapu-Lapu,Cebu,15916180,2,2,74,
"1-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu",Mactan,Lapu-Lapu,Cebu,8730355,1,1,41,
"Offices at The Galleon - Prime Unit (11G) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,27448000,,,82,
"1-Bedroom Unit (821) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16011000,1,,58,
"Alice 2 Storey Townhouse For Sale in Lancaster New City in General Trias, Cavite",Tapia,General Trias,Cavite,1935600,3,,40,40
"Studio Condo Unit (6B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7587013,1,1,32,
"Studio Deluxe (43E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,13246000,1,1,46,
"1-Bedroom Unit (1918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,56,
"1-Bedroom Unit (21J) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26930000,1,1,70,
"Studio Condo Unit (6F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,8360751,1,1,33,
"1-Bedroom Unit (11K) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22042000,1,1,67,
"3-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...",Isabang,Tayabas,Quezon,5110000,3,,66,88
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Greta",Cupang Proper,Balanga,Bataan,8982000,5,,166,142
"4-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City",Barangay 19-B,Davao,Davao Del Sur,16487500,4,2,92,
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Erica Model",Cabuco,Trece Martires,Cavite,2089739,2,,40,45
"Studio Unit (52N) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12415000,1,1,41,
"1-Bedroom Unit (3806) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16618000,1,,57,
"1-Bedroom Unit (4116) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,18160000,1,,57,
"1-Bedroom Unit (812) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15669000,1,,58,
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...",Isabang,Tayabas,Quezon,2636000,2,,40,54
"1-Bedroom Unit (1121) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15229000,1,,56,
"1-Bedroom Unit (2018) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,53,
"1-Bedroom Unit (816) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15297000,1,,56,
"1-Bedroom Unit (3022) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16602000,1,1,58,
"For Sale: Studio Condo Unit at Camella Manors - Northpoint in Bajada, Davao City",Barangay 19-B,Davao,Davao Del Sur,4009821,1,1,22,
"5-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | E...",Isabang,Tayabas,Quezon,8385000,5,,100,194
"2-Bedroom Unit (38O) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,35121000,2,2,106,
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...",Isabang,Tayabas,Quezon,4160000,2,,40,108
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | A...",Isabang,Tayabas,Quezon,2582000,2,,36,59
"Studio (4017) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8872000,1,,35,
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Ezabelle, NRF...",Longos,Malolos,Bulacan,3365000,2,,46,63
"1-Bedroom Unit (12F) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21625000,1,1,67,
"1-Bedroom Unit (34D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21129000,1,1,66,
"1-Bedroom Unit (3011) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15972000,1,,58,
"1-Bedroom Unit (4014) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16274000,1,,57,
"1-Bedroom Unit (4106) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,18392000,1,,57,
"1-Bedroom Unit (2707) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15898000,1,,56,
"1-Bedroom Unit (2318) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15627000,1,1,53,
"1-Bedroom Unit (1405) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15635000,1,,56,
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, NRF...",Buli,Taal,Batangas,5210000,3,,66,88
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Elaisa WB...",Buli,Taal,Batangas,7735000,5,,97,130
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ezabelle,...",Buli,Taal,Batangas,3012000,2,,46,66
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Freya",Cupang Proper,Balanga,Bataan,7751000,5,,142,121
"3-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Cara",Cupang Proper,Balanga,Bataan,5057000,3,,66,94
"1-Bedroom Unit (32D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,20793000,1,1,65,
"Studio Unit (17L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11539000,1,1,39,
"Studio Unit (47H) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,10744000,1,1,34,
"Studio Unit (53C) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11159000,1,1,38,
"1-Bedroom Unit (3514) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16145000,1,,57,
"Studio Unit (33N) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11629000,1,1,40,
"1-Bedroom Unit (1414) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,58,
"1-Bedroom Unit (2203) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15898000,1,1,56,
"1-Bedroom Unit (1208) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15635000,1,,56,
"Studio Unit (7L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11376000,1,1,39,
"Studio Unit (48L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12517000,1,1,40,
"2-Bedroom Unit (12O) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,32121000,2,2,104,
"Studio Unit (32L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11809000,1,1,39,
"Studio Unit (50J) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,10786000,1,1,34,
"1-Bedroom Unit (3803) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16755000,1,,57,
"Studio Deluxe (28E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12615000,1,1,45,
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Freya, NR...",Buli,Taal,Batangas,8967000,5,,142,156
"4-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Dana, NRF...",Buli,Taal,Batangas,6380000,4,,85,99
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Criselle,...",Buli,Taal,Batangas,2883000,2,,40,66
"1-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City",Barangay 19-B,Davao,Davao Del Sur,9696429,1,1,54,
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ella",Cupang Proper,Balanga,Bataan,6592000,5,,100,121
"4-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Dani",Cupang Proper,Balanga,Bataan,5870000,4,,83,110
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Arielle...",Cupang Proper,Balanga,Bataan,2153000,2,,36,42
"1BR Executive Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-sell...",Hippodromo,Cebu,Cebu,9282900,1,1,56,
"Studio Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu",Mactan,Lapu-Lapu,Cebu,8820825,1,1,41,
"1-Bedroom Unit (48D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,27611000,1,1,70,
"Studio Unit (40L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12245000,1,1,40,
"1-Bedroom Unit (16F) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21737000,1,1,67,
"1-Bedroom Unit (24D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,20577000,1,1,65,
"1-Bedroom Unit (1718) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15364000,1,,56,
"1-Bedroom Unit (46D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21459000,1,1,66,
"Studio Deluxe (25E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12433000,1,1,45,
"1-Bedroom Unit (40M) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21361000,1,1,65,
"1-Bedroom Unit (3814) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16411000,1,,57,
"1-Bedroom Unit (47A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,23578000,1,1,67,
"1-Bedroom Unit (2703) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16033000,1,,56,
"1-Bedroom Unit (59E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,26888000,1,1,76,
"1-Bedroom Unit (3115) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16007000,1,,57,
"1-Bedroom Unit (3216) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16076000,1,,57,
"1-Bedroom Unit (41D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21322000,1,1,66,
"3-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...",Isabang,Tayabas,Quezon,5898000,3,,66,131
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, NR...",Buli,Taal,Batangas,4592000,2,,53,88
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle I...",Buli,Taal,Batangas,2134000,2,,36,44
"2-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City",Barangay 19-B,Davao,Davao Del Sur,8122321,2,1,45,
"2-Bedroom Unit (17O) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,32507000,2,2,104,
"1-Bedroom Unit (3403) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16420000,1,1,57,
"1-Bedroom Unit (3420) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16672000,1,,58,
"1-Bedroom Unit (3710) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16172000,1,,58,
"1-Bedroom Unit (1715) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15737000,1,,58,
"1-Bedroom Unit (1721) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15364000,1,,56,
"1-Bedroom Unit (39F) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22153000,1,1,66,
"Studio Deluxe (42E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,13227000,1,1,46,
"2-Bedroom Unit (43B) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,34033000,2,2,106,
"1-Bedroom Unit (49M) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,23554000,1,1,70,
"1-Bedroom Unit (38K) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22973000,1,1,66,
"1-Bedroom Unit (33M) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22061000,1,1,68,
"1-Bedroom Unit (26F) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22089000,1,1,67,
"1-Bedroom Unit (55B) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22047000,1,1,65,
"1-Bedroom Unit (42A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22768000,1,1,65,
"2-Bedroom Unit (29O) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,33499000,2,2,104,
"Studio Unit (29L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11761000,1,1,39,
"Studio Unit (39L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12229000,1,1,40,
"1-Bedroom Unit (3916) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16274000,1,,57,
"1-Bedroom Unit (3416) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16076000,1,,57,
"1-Bedroom Unit (4016) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16274000,1,,57,
"1-Bedroom Unit (3316) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16076000,1,,57,
"1-Bedroom Unit (1015) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15601000,1,,58,
"1-Bedroom Unit (2818) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16076000,1,1,57,
"1-Bedroom Unit (2122) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16322000,1,,58,
"1-Bedroom Unit (2722) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16532000,1,,58,
"1-Bedroom Unit (3210) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16042000,1,,58,
"1-Bedroom Unit (3616) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16205000,1,1,57,
"1-Bedroom Unit (3520) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16742000,1,1,58,
"1-Bedroom Unit (926) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15982000,1,,58,
"1-Bedroom Unit (1821) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15560000,1,1,56,
"1-Bedroom Unit (1714) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15562000,1,,58,
"1-Bedroom Unit (914) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15352000,1,,58,
"1-Bedroom Unit (2803) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16420000,1,,57,
"1-Bedroom Unit (2807) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16283000,1,,57,
"1-Bedroom Unit (1418) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15297000,1,,56,
"1-Bedroom Unit (2215) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15560000,1,,56,
"1-Bedroom Unit (1726) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16252000,1,,58,
"1-Bedroom Unit (1705) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15702000,1,,56,
"1-Bedroom Unit (3406) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16283000,1,,57,
"1-Bedroom Unit (2903) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16351000,1,,57,
"1-Bedroom Unit (1521) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15297000,1,,56,
"1-Bedroom Unit (2815) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16076000,1,,57,
"1-Bedroom Unit (1518) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15297000,1,,56,
"1-Bedroom Unit (3214) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16076000,1,,57,
"1-Bedroom Unit (2718) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15695000,1,,56,
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Lyca Model",Cabuco,Trece Martires,Cavite,1918427,2,,38,36
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ezabell...",Cupang Proper,Balanga,Bataan,3071000,2,,46,63
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Bella",Cupang Proper,Balanga,Bataan,4382000,2,,53,88
"1-Bedroom Unit (58F) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,26856000,1,1,76,
"2-Bedroom Unit (N64I) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,22595200,2,2,87,
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | B...",Isabang,Tayabas,Quezon,4328000,2,,66,88
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Greta, NR...",Buli,Taal,Batangas,9753000,5,,166,156
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, RFO",Buli,Taal,Batangas,5390000,3,,66,88
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ella, NRF...",Buli,Taal,Batangas,6814000,5,,100,110
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, RF...",Buli,Taal,Batangas,5132000,2,,53,99
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle E...",Buli,Taal,Batangas,2673000,2,,36,66
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Frielle, NRFO",Longos,Malolos,Bulacan,3440000,2,,50,63
"1-Bedroom Unit (1621) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15364000,1,,56,
"1-Bedroom Unit (3306) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16283000,1,,57,
"1-Bedroom Unit (1618) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15364000,1,,56,
"2-Bedroom Unit (3112) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25471000,2,,89,
"1-Bedroom Unit (2307) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15830000,1,,56,
"1-Bedroom Unit (1814) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15762000,1,,58,
"1-Bedroom Unit (3606) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16411000,1,,57,
"1-Bedroom Unit (1826) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16392000,1,,58,
"1-Bedroom Unit (2022) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16322000,1,,58,
"1-Bedroom Unit (2015) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,56,
"2-Bedroom Unit (3311) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25579000,2,,89,
"1-Bedroom Unit (3122) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16602000,1,,58,
"1-Bedroom Unit (1423) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16402000,1,,58,
"2-Bedroom Unit (4111) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,28695000,2,,89,
"1-Bedroom Unit (31F) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26849000,1,1,74,
"1-Bedroom Unit (30G) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26840000,1,1,74,
"Studio (3717) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8830000,1,,35,
"Studio (3617) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8830000,1,,35,
"1-Bedroom Unit (3810) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16382000,1,1,58,
"Studio Deluxe (31E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12546000,1,1,45,
"1-Bedroom Unit (8A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21828000,1,1,65,
"Studio Deluxe (30E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12527000,1,1,45,
"1-Bedroom Unit (1023) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16332000,1,,58,
"1-Bedroom Unit (19A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21946000,1,1,65,
"1-Bedroom Unit (3018) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16007000,1,,57,
"1-Bedroom Unit (38D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,27046000,1,1,70,
"2-Bedroom Unit (3211) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25579000,2,,89,
"1-Bedroom Unit (35M) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22805000,1,1,70,
"1-Bedroom Unit (1921) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,56,
"1-Bedroom Unit (25P) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22868000,1,1,67,
"1-Bedroom Unit (29D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,20712000,1,1,65,
"1-Bedroom Unit (36P) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22561000,1,1,65,
"Studio Unit (28L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11853000,1,1,39,
"Studio Unit (49N) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12364000,1,1,41,
"Studio Deluxe (30E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12527000,1,1,45,
"Studio Deluxe (31E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12546000,1,1,45,
"1-Bedroom Unit (1023) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16332000,1,,58,
"1-Bedroom Unit (8A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21828000,1,1,65,
"1-Bedroom Unit (19A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21946000,1,1,65,
"2-Bedroom Unit (4111) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,28695000,2,,89,
"Studio (3617) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8830000,1,,35,
"Studio (3717) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8830000,1,,35,
"1-Bedroom Unit (31F) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26849000,1,1,74,
"1-Bedroom Unit (30G) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26840000,1,1,74,
"1-Bedroom Unit (3810) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16382000,1,1,58,
"2-Bedroom Unit (11B) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,30789000,2,2,104,
"2-Bedroom Unit (3211) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25579000,2,,89,
"1-Bedroom Unit (38D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,27046000,1,1,70,
"1-Bedroom Unit (1921) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,56,
"Studio Unit (3812) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8492000,1,1,35,
"1-Bedroom Unit (1108) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15635000,1,,56,
"1-Bedroom Unit (3816) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16411000,1,,57,
"1-Bedroom Unit (7P) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21370000,1,1,65,
