Movie_ID,Title,Director,Writer,Main_Genres,Motion_Picture_Rating,Runtime_Minutes,Rating,Budget_InMillions,Gross_USCanada_InMillions,Gross_worldwide_InMillions,Total_Gross,Opening_Weekend_USCanada,Gross_Opening_Weekend_InMillions
72,The Blind,Andrew Hyatt,"Stephanie Katz,Zach Dasher,Andrew Hyatt",Drama,PG-13,108,6,,17.265,17.265,34.53,10.01.2023,4.342
73,Stamped from the Beginning,Roger Ross Williams,"David Teague,Ibram X. Kendi",Documentary,R,91,6.3,,,,,,
74,Brave Citizen,Park Jin-Pyo,Ji Na Yeo,"Action,Comedy,Drama",,112,6.8,,,1.94,1.94,,
75,Apurva,Nikhil Nagesh Bhat,Nikhil Nagesh Bhat,"Drama,Thriller",,95,6.2,,,,,,
76,Sympathy for the Devil,Yuval Adler,Luke Paradise,"Action,Thriller",,90,5.5,,0.012,0.237,0.249,07.30.2023,0.005
77,Miranda's Victim,Michelle Danner,"J. Craig Stiles,George Kolber,Richard Lasser","Biography,Crime,Drama",,127,6.5,,,,,,
78,Bye Bye Barry,"Paul Monusky,Angela Torma,Micaela Powers",,"Documentary,Sport",,92,8,,,,,,
79,Flora and Son,John Carney,John Carney,"Drama,Music,Romance",R,97,7,,,0.13,0.13,,
80,Assassin Club,Camille Delamarre,Thomas Dunn,"Action,Thriller",R,111,4.7,,,0.188,0.188,,
81,The Last Rifleman,Terry Loane,Kevin Fitzpatrick,Drama,,95,6.7,,,,,,
82,In Love and Deep Water,"Yûsuke Taki,Morgan Bailey Keaton",Yûji Sakamoto,"Comedy,Mystery,Romance",TV-14,125,4.9,,,,,,
83,Nefarious,"Chuck Konzelman,Cary Solomon","Chuck Konzelman,Steve Deace,Cary Solomon","Horror,Thriller",R,97,6.4,,5.434,5.492,10.926,04.16.2023,1.316
84,The Fall of Minneapolis,JC Chaix,"JC Chaix,Liz Collin","Documentary,Crime",,102,8.3,,,,,,
85,Sick Girl,Jennifer Cram,Jennifer Cram,"Comedy,Drama",R,99,4.8,,,0.022,0.022,,
86,Beautiful Disaster,Roger Kumble,"Roger Kumble,Jamie McGuire","Drama,Romance",R,96,5.3,,,6.85,6.85,,
87,Frybread Face and Me,Billy Luther,Billy Luther,Drama,,83,7.3,,,,,,
88,The Out-Laws,Tyler Spindel,"Ben Zazove,Evan Turner","Action,Comedy,Crime",R,95,5.4,,,,,,
89,The Three Musketeers - Part I: D'Artagnan,Martin Bourboulon,"Matthieu Delaporte,Alexandre de La Patellière,Alexandre Dumas","Action,Adventure,History",,121,6.7,36,,31.454,31.454,,
90,Under the Boardwalk,David Soren,"David Soren,David Dobkin,Lorene Scafaria","Animation,Adventure,Comedy",PG,83,5.8,,,,,,
91,The Reading,Courtney Glaude,Courtney Glaude,Thriller,TV-MA,96,5.3,,,,,,
92,About My Father,Laura Terruso,"Austen Earl,Sebastian Maniscalco",Comedy,PG-13,90,5.7,,12.089,18.168,30.257,05.28.2023,4.321
93,Desperation Road,Nadine Crocker,,"Action,Mystery,Thriller",R,112,5.7,,,0.041,0.041,,
94,God Is a Bullet,Nick Cassavetes,"Nick Cassavetes,Boston Teran","Action,Crime,Thriller",18+,156,5.6,,,0.141,0.141,,
95,Hit Man,,"Richard Linklater,Glen Powell,Skip Hollandsworth","Action,Comedy",R,113,7.8,,,,,,
96,Zombie Town,Peter Lepeniotis,"Michael Schwartz,Peter Lepeniotis,Michael Samonek","Comedy,Horror",PG-13,92,3.9,,0.131,0.131,0.262,09.03.2023,0.084
97,Suitable Flesh,Joe Lynch,"H.P. Lovecraft,Dennis Paoli","Horror,Thriller",,100,5.3,,0.018,0.023,0.041,10.29.2023,0.011
98,Pet Sematary: Bloodlines,Lindsey Anderson Beer,"Jeff Buhler,Lindsey Anderson Beer,Stephen King","Fantasy,Horror",R,87,4.6,,,,,,
99,Tetris,Jon S. Baird,Noah Pink,"Biography,Drama,History",R,118,7.4,,,,,,
100,Passages,Ira Sachs,"Ira Sachs,Arlette Langmann,Mauricio Zacharias","Drama,Romance",Unrated,91,6.8,,0.552,1.103,1.655,08.06.2023,0.063
101,They Cloned Tyrone,Juel Taylor,"Juel Taylor,Tony Rettenmaier","Comedy,Mystery,Sci-Fi",R,122,6.6,,,,,,
102,Happiness for Beginners,Vicky Wight,"Vicky Wight,Katherine Center","Comedy,Drama,Romance",TV-14,103,6.1,,,,,,
103,Creation of the Gods I: Kingdom of Storms,Wuershan,"Jianan Ran,Ping Ran,Cao Sheng","Adventure,Drama,Fantasy",,148,6.9,800,1.706,2.356,4.062,09.24.2023,0.931
104,Simulant,April Mullen,Ryan Christopher Churchill,"Crime,Sci-Fi,Thriller",Not Rated,95,5.2,,,0.237,0.237,,
105,The Conference,Patrik Eklund,"Thomas Moldestad,Mats Strandberg,Patrik Eklund","Comedy,Horror,Mystery",TV-MA,100,5.8,,,,,,
106,Maxine's Baby: The Tyler Perry Story,"Gelila Bekele,Armani Ortiz",Gelila Bekele,"Documentary,Biography",PG-13,115,7.8,,,,,,
107,Fast Charlie,Phillip Noyce,"Victor Gischler,Richard Wenk","Action,Crime,Drama",,,8.8,20,,,,,
108,Ballerina,Chung-Hyun Lee,Chung-Hyun Lee,"Action,Thriller",TV-MA,92,6.2,,,,,,
109,Deep Fear,Marcus Adams,"Sophia Eptamenitis,Robert Capelli Jr.","Action,Thriller",,84,3.8,,,0.135,0.135,,
110,Guardians of the Formula,Dragan Bjelogrlic,"Dragan Bjelogrlic,Goran Milasinovic,Vuk Rsumovic","Drama,History,Thriller",,2,8.6,,,0.939,0.939,,
111,Onyx the Fortuitous and the Talisman of Souls,Andrew Bowser,Andrew Bowser,"Comedy,Horror",,108,6.4,,0.182,0.182,0.364,,
112,Nimona,"Troy Quane,Nick Bruno","Lloyd Taylor,Pamela Ribon,Robert L. Baird","Animation,Action,Adventure",PG,101,7.6,,,,,,
113,The Miracle Club,Thaddeus O'Sullivan,"Joshua D. Maurer,Timothy Prager,Jimmy Smallhorne","Comedy,Drama",PG-13,90,6.3,8.9,2.403,6.626,9.029,07.16.2023,0.665
114,Ronnie O'Sullivan: The Edge of Everything,Sam Blair,,Documentary,,113,7.8,,,0.036,0.036,,
115,Polite Society,Nida Manzoor,Nida Manzoor,"Action,Comedy",PG-13,104,6.7,,1.546,2.594,4.14,04.30.2023,0.818
116,The Wrath of Becky,"Matt Angel,Suzanne Coote","Suzanne Coote,Nick Morris,Matt Angel","Action,Horror,Thriller",R,84,6.1,,0.168,0.202,0.37,05.28.2023,0.147
117,Hardcore Never Dies,Jim Taihuttu,"Amira Duynhouwer,Victor D. Ponten",Crime,,115,7.2,3.2,,1.059,1.059,,
118,The Hill,Jeff Celentano,"Scott Marshall Smith,Bill Chaffin,Angelo Pizzo","Biography,Drama,Sport",PG,126,6.4,,7.666,7.666,15.332,08.27.2023,2.302
119,Mr. Monk's Last Case: A Monk Movie,Randy Zisk,Andy Breckman,"Comedy,Crime",,,,,,,,,
120,Sister Death,Paco Plaza,"Jorge Guerricaechevarría,Paco Plaza","Horror,Mystery",TV-MA,91,5.7,,,,,,
121,JFK: What the Doctors Saw,Barbara Shearer,,"Documentary,History",,92,7.5,,,,,,
122,Jailer,Nelson Dilipkumar,Nelson Dilipkumar,"Action,Comedy,Crime",,168,7.1,,,4.818,4.818,,
123,Last Stop Larrimah,Thomas Tancred,,"Documentary,Crime,Mystery",TV-MA,118,7.1,,,,,,
124,Paradise,Boris Kunz,"Peter Kocyla,Boris Kunz,Simon Amberger","Action,Sci-Fi,Thriller",TV-MA,117,6.3,,,,,,
125,The Promised Land,Nikolaj Arcel,"Nikolaj Arcel,Ida Jessen,Anders Thomas Jensen","Biography,Drama,History",,127,7.8,8,,,,,
126,Hidden Strike,Scott Waugh,Arash Amel,"Action,Adventure,Comedy",TV-14,102,5.3,80,,2.155,2.155,,
127,Missing,"Will Merrick,Nicholas D. Johnson","Sev Ohanian,Will Merrick,Nicholas D. Johnson","Drama,Mystery,Thriller",PG-13,111,7.1,7,32.502,48.768,81.27,01.22.2023,9.155
128,The Oath,Darin Scott,"Michelle Scott,Darin Scott","Action,Adventure,Drama",PG-13,104,,,,,,,
129,Zoey 102,Nancy Hower,"Dan Schneider,Madeline Whitby,Monica Sherer","Comedy,Drama,Family",TV-14,101,5,,,,,,
130,Fukrey 3,Mrighdeep Lamba,Vipul Vig,"Comedy,Crime,Drama",Not Rated,147,6.7,0,,0.584,0.584,,
131,Left Behind: Rise of the Antichrist,Kevin Sorbo,"Jessica Parker,Paul Lalonde,John Patus","Action,Drama,Mystery",Not Rated,115,4.2,,3.649,3.649,7.298,01.29.2023,2.553
132,The Jester,Colin Krawchuk,"Michael Sheffield,Colin Krawchuk","Horror,Mystery,Thriller",,90,4.2,,,0.93,0.93,,
133,Quiz Lady,Jessica Yu,Jen D'Angelo,Comedy,R,99,6.7,,,,,,
134,Asteroid City,Wes Anderson,"Roman Coppola,Wes Anderson","Comedy,Drama,Romance",PG-13,105,6.6,25,28.153,53.831,81.984,06.18.2023,0.853
135,Believer 2,Jong-Yeol Baek,Cheol-Hong Jeon,"Action,Crime,Thriller",TV-MA,114,5.6,,,,,,
136,Fair Play,Chloe Domont,Chloe Domont,"Drama,Mystery,Thriller",R,113,6.4,,,,,,
137,Past Lives,Celine Song,Celine Song,"Drama,Romance",PG-13,105,8,,10.924,20.286,31.21,06.04.2023,0.232
138,The Burial,Maggie Betts,"Maggie Betts,Jonathan Harr,Doug Wright",Drama,R,126,7.1,,,,,,
139,Last Call for Istanbul,Gonenc Uyanik,Nuran Evren Sit,"Drama,Romance",TV-MA,91,5.4,,,,,,
140,Bottoms,Emma Seligman,"Emma Seligman,Rachel Sennott",Comedy,R,91,6.9,,12.036,12.591,24.627,08.27.2023,0.461
141,Totally Killer,Nahnatchka Khan,"Jen D'Angelo,David Matalon,Sasha Perl-Raver","Comedy,Horror",R,106,6.6,,,,,,
142,Leave the World Behind,Sam Esmail,"Sam Esmail,Rumaan Alam","Drama,Thriller",R,138,6.9,,,,,,
143,Journey to Bethlehem,Adam Anders,"Peter Barsocchini,Adam Anders","Adventure,Family,Musical",PG,99,6.6,6,5.912,5.964,11.876,11.12.2023,2.4
144,Kandahar,Ric Roman Waugh,Mitchell LaFortune,"Action,Thriller",R,119,6.1,,4.813,9.385,14.198,05.28.2023,2.325
145,Teenage Mutant Ninja Turtles: Mutant Mayhem,"Kyler Spears,Jeff Rowe","Seth Rogen,Evan Goldberg,Jeff Rowe","Animation,Action,Adventure",PG,99,7.2,70,118.614,180.514,299.128,08.06.2023,28.008
146,The Covenant,Guy Ritchie,"Guy Ritchie,Marn Davies,Ivan Atkinson","Action,Drama,Thriller",R,123,7.5,55,16.938,21.632,38.57,04.23.2023,6.38
147,The Flash,Andy Muschietti,"John Francis Daley,Jonathan Goldstein,Christina Hodson","Action,Adventure,Fantasy",PG-13,144,6.7,200,108.133,270.633,378.766,06.18.2023,55.044
148,Ferrari,Michael Mann,"Troy Kennedy Martin,Brock Yates","Biography,Drama,History",R,130,6.6,110,,,,,
149,Warhorse One,"William Kaufman,Johnny Strong",Johnny Strong,"Action,Drama,War",R,126,5.2,,,0.001,0.001,,
150,The Toxic Avenger,Macon Blair,"Joe Ritter,Lloyd Kaufman,Macon Blair","Action,Comedy,Horror",R,102,5.9,,,,,,
151,There's Something in the Barn,"Magnus Martens(director:),Magnus Martens","Josh Epstein,Aleksander Kirkwood Brown,Kyle Rideout","Comedy,Fantasy,Horror",R,100,6.1,,,0.451,0.451,,
152,Mafia Mamma,Catherine Hardwicke,"Debbie Jhoon,Amanda Sthers,J. Michael Feldman","Action,Comedy,Crime",R,101,5.4,,3.497,6.121,9.618,04.16.2023,2.032
153,Where the Devil Roams,"Zelda Adams,Toby Poser,John Adams","John Adams,Toby Poser,Zelda Adams",Horror,,93,5.6,,,,,,
154,Golda,Guy Nattiv,Nicholas Martin,"Biography,Drama,History",PG-13,100,5.9,,4.802,5.822,10.624,08.27.2023,1.696
155,Pathaan,Siddharth Anand,"Siddharth Anand,Shridhar Raghavan,Abbas Tyrewala","Action,Adventure,Thriller",Not Rated,146,5.9,,17.487,128.78,146.267,01.29.2023,6.892
156,Big George Foreman,George Tillman Jr.,"George Tillman Jr.,Frank Baldwin,Dan Gordon","Biography,Drama,Sport",PG-13,129,6.6,32,5.427,6.031,11.458,04.30.2023,2.925
157,River Wild,Ben Ketai,"Mike Nguyen Le,Ben Ketai,Denis O'Neill","Action,Adventure,Thriller",PG-13,91,5.4,,,,,,
158,Reality,Tina Satter,"Tina Satter,James Paul Dallas",Drama,TV-MA,83,6.7,,,1.403,1.403,,
159,Luther: The Fallen Sun,Jamie Payne,,"Crime,Drama,Mystery",R,129,6.4,,,,,,
160,All Dirt Roads Taste of Salt,Raven Jackson,Raven Jackson,Drama,PG,92,6,,0.043,0.043,0.086,11.05.2023,0.011
161,About Dry Grasses,Nuri Bilge Ceylan,"Nuri Bilge Ceylan,Ebru Ceylan,Akin Aksu",Drama,,197,8.1,3.5,,2.211,2.211,,
162,Magic Mike's Last Dance,Steven Soderbergh,,"Comedy,Drama",R,112,5.2,40,26.005,57.105,83.11,02.12.2023,8.305
163,Inside,"Vasilis Katsoupis,Vasilis Katsoupis(a film by)","Vasilis Katsoupis,Ben Hopkins","Drama,Thriller",R,105,5.5,,0.897,0.897,1.794,03.19.2023,0.51
164,Mutt,Vuk Lungulov-Klotz,Vuk Lungulov-Klotz,Drama,,87,6.2,,,,,,
165,Nandor Fodor and the Talking Mongoose,Adam Sigal,Adam Sigal,"Comedy,Mystery",PG-13,96,5.3,,,0.006,0.006,,
166,Englemageren,"Julie R. Ølgaard,Esben Tønnesen","Julie R. Ølgaard,Yusuf Othman","Crime,Thriller",,94,5.2,,,0.077,0.077,,
167,OMG 2,Amit Rai,Amit Rai,"Comedy,Drama",,156,7.7,500,,0.615,0.615,,
168,Squealer,Andy Armstrong,"Andy Armstrong,Danielle Burgio","Action,Horror,Thriller",R,100,3.5,,,,,,
169,Afire,Christian Petzold,Christian Petzold,"Comedy,Drama,Romance",,102,7.3,,0.245,2.154,2.399,07.16.2023,0.038
170,Perfect Days,Wim Wenders,"Wim Wenders,Takuma Takasaki",Drama,PG,123,8,,,0.004,0.004,,
171,Farrey,Soumendra Padhi,"Abhishek Yadav,Soumendra Padhi,Jitendra Nath Jeetu","Crime,Drama,Thriller",,130,9.2,,,,,,
172,Puppy Love,"Nick Fabiano,Richard Alan Reid","Greg Glienna,Peter Stass,Kirsten Guenther",Comedy,R,106,6.3,,,0.066,0.066,,
173,Tiger Nageswara Rao,Vamsee,"Vamsee,Srikanth Vissa","Action,Crime,Drama",,172,6.4,,,0.02,0.02,,
174,172 Days,Hadrah Daeng Ratu,"Archie Hekagery,Nadzira Shafa","Biography,Drama",,103,7,,,,,,
175,The Teachers' Lounge,Ilker Çatak,"Ilker Çatak,Johannes Duncker",Drama,PG-13,98,7.6,,,2.016,2.016,,
176,It Lives Inside,Bishal Dutta,"Bishal Dutta,Ashish Mehta","Drama,Horror,Thriller",PG-13,99,5.2,,4.675,6.484,11.159,09.24.2023,2.608
177,Cat Person,Susanna Fogel,"Michelle Ashford,Kristen Roupenian","Drama,Thriller",,118,6.2,,0.056,0.303,0.359,10.08.2023,0.01
178,Khufiya,Vishal Bhardwaj,"Vishal Bhardwaj,Rohan Narula,Amar Bhushan","Action,Biography,Crime",TV-MA,157,6,,,,,,
179,Black Girl Missing,Delmar Washington,Kale Futterman,"Crime,Drama",TV-14,88,5.4,,,,,,
180,The Portable Door,Jeffrey Walker,"Leon Ford,Tom Holt","Adventure,Comedy,Fantasy",,116,6.1,,,0.801,0.801,,
181,You People,Kenya Barris,"Jonah Hill,Kenya Barris","Comedy,Romance",R,117,5.5,,,,,,
182,Haunting of the Queen Mary,Gary Shore,"Tom Vaughan,Gary Shore,Stephen Oliver","Drama,Horror,Mystery",Not Rated,125,4.2,,,1.351,1.351,,
183,The Dive,Maximilian Erlenwein,"Joachim Hedén,Maximilian Erlenwein","Drama,Thriller",,91,5.5,,0.006,1.454,1.46,08.27.2023,0.004
184,Lee,Ellen Kuras,"Marion Hume,Liz Hannah,John Collee","Biography,Drama,History",R,116,7,,,,,,
185,The Taste of Things,Anh Hung Tran,"Marcel Rouff,Anh Hung Tran","Drama,History,Romance",,145,7.5,,,1.489,1.489,,
